filename,width,height,class,xmin,ymin,xmax,ymax
00171.jpg,300,183,Deportivo,36,38,268,173
00172.jpg,500,305,Deportivo,8,103,485,277
00173.jpg,530,398,Camioneta,28,59,512,338
00174.jpg,259,194,Camioneta,10,25,250,162
00175.jpg,800,533,Camioneta,59,114,757,488
00176.jpg,1024,768,Automovil,23,78,1008,582
00177.jpg,700,326,Camioneta,94,21,652,297
00178.jpg,300,168,Camioneta,2,27,287,146
00179.jpg,640,480,Camioneta,46,110,617,436
00179.jpg,640,480,Automovil,1,202,59,267
00180.jpg,300,189,Camioneta,3,36,292,167
00181.jpg,1024,768,Camioneta,94,250,933,733
00181.jpg,1024,768,Camioneta,549,242,782,375
00181.jpg,1024,768,Camioneta,80,244,258,368
00181.jpg,1024,768,Carro,731,258,877,370
00182.jpg,1024,733,Carro,45,219,983,678
00183.jpg,200,150,Carro,5,8,195,115
00184.jpg,640,426,Automovil,25,44,605,339
00184.jpg,640,426,Camioneta,110,40,273,145
00184.jpg,640,426,Camioneta,47,32,135,92
00185.jpg,640,480,Camioneta,14,26,618,442
00186.jpg,266,199,Camioneta,4,67,261,188
00186.jpg,266,199,Camioneta,18,89,37,102
00186.jpg,266,199,Automovil,5,88,20,101
00187.jpg,1600,1200,Deportivo,20,402,1600,994
00188.jpg,1280,853,Deportivo,20,160,1229,748
00188.jpg,1280,853,Camioneta,513,114,1250,376
00189.jpg,640,480,Automovil,21,18,583,402
00190.jpg,1280,960,Deportivo,189,416,1274,876
00191.jpg,750,469,Camioneta,137,75,651,410
00192.jpg,300,225,Camioneta,22,22,265,210
00193.jpg,1024,768,Camioneta,61,119,986,690
00193.jpg,1024,768,Camioneta,47,178,372,377
00193.jpg,1024,768,Camioneta,235,143,488,262
00193.jpg,1024,768,Automovil,963,128,1024,231
00194.jpg,1280,782,Carro,179,327,1259,770
00195.jpg,1440,1080,Automovil,116,322,1337,766
00196.jpg,300,225,Camioneta,24,44,269,197
00196.jpg,300,225,Automovil,1,41,73,98
00197.jpg,540,436,Camioneta,30,118,503,352
00198.jpg,600,450,Automovil,89,115,577,372
00198.jpg,600,450,Camioneta,180,73,297,124
00198.jpg,600,450,Carro,435,68,595,207
00199.jpg,1600,1200,Carro,159,272,1337,920
00200.jpg,340,255,Carro,31,47,301,183
00200.jpg,340,255,Camioneta,3,39,118,102
00200.jpg,340,255,Camioneta,97,46,153,91
00200.jpg,340,255,Automovil,1,67,53,112
00201.jpg,400,200,Automovil,27,1,379,188
00202.jpg,1600,1067,Camioneta,203,194,1409,835
00203.jpg,960,640,Automovil,10,150,932,585
00204.jpg,300,169,Automovil,10,59,279,158
00205.jpg,640,426,Automovil,25,57,617,374
00206.jpg,640,480,Deportivo,76,218,573,406
00207.jpg,470,372,Deportivo,20,103,460,283
00208.jpg,376,282,Deportivo,16,148,368,266
00209.jpg,1000,667,Carro,39,118,995,638
00209.jpg,1000,667,Carro,647,16,870,167
00209.jpg,1000,667,Carro,665,185,998,488
00210.jpg,640,480,Automovil,9,64,610,418
00211.jpg,608,397,Carro,12,42,595,351
00212.jpg,259,194,Carro,9,22,253,145
00212.jpg,259,194,Camioneta,163,8,236,63
00212.jpg,259,194,Camioneta,24,14,83,52
00213.jpg,300,225,Camioneta,35,58,267,188
00213.jpg,300,225,Camioneta,258,76,300,114
00213.jpg,300,225,Automovil,8,90,58,128
00214.jpg,1024,768,Camioneta,69,73,939,657
00214.jpg,1024,768,Camioneta,3,212,106,299
00214.jpg,1024,768,Camioneta,897,177,1017,333
00215.jpg,259,194,Automovil,40,51,217,144
00215.jpg,259,194,Camioneta,157,50,210,74
00215.jpg,259,194,Camioneta,43,50,87,68
00216.jpg,144,108,Camioneta,15,46,131,88
00217.jpg,640,480,Carro,45,35,588,435
00217.jpg,640,480,Camioneta,514,31,615,84
00218.jpg,400,300,Automovil,40,86,352,241
00218.jpg,400,300,Camioneta,318,72,388,143
00218.jpg,400,300,Camioneta,133,82,172,113
00218.jpg,400,300,Camioneta,1,96,76,155
00218.jpg,400,300,Automovil,16,93,70,114
00219.jpg,640,359,Carro,90,8,598,323
00220.jpg,480,360,Automovil,21,101,451,349
00220.jpg,480,360,Automovil,289,94,480,233
00221.jpg,500,331,Deportivo,22,22,476,317
00222.jpg,620,388,Carro,84,59,556,335
00223.jpg,500,333,Carro,43,127,323,275
00224.jpg,200,150,Camioneta,18,5,194,128
00225.jpg,465,342,Camioneta,18,48,457,314
00226.jpg,259,194,Camioneta,40,16,206,149
00226.jpg,259,194,Camioneta,179,25,259,83
00227.jpg,640,480,Camioneta,25,52,618,417
00228.jpg,964,536,Automovil,222,151,914,392
00229.jpg,259,194,Automovil,6,37,255,143
00230.jpg,3699,2775,Carro,227,481,3685,2485
00230.jpg,3699,2775,Carro,6,777,368,1044
00230.jpg,3699,2775,Carro,2647,627,3699,1246
00231.jpg,640,480,Camioneta,59,91,612,379
00232.jpg,600,444,Camioneta,16,113,561,387
00233.jpg,1600,1067,Carro,273,105,1512,975
00234.jpg,1504,1000,Camioneta,92,368,1244,912
00235.jpg,640,480,Camioneta,49,57,563,389
00235.jpg,640,480,Automovil,595,115,635,157
00235.jpg,640,480,Automovil,569,105,600,135
00235.jpg,640,480,Camioneta,531,103,561,131
00236.jpg,600,450,Automovil,12,124,565,414
00237.jpg,400,300,Camioneta,14,16,391,253
00237.jpg,400,300,Camioneta,258,21,400,144
00238.jpg,600,399,Automovil,153,84,539,337
00239.jpg,259,194,Carro,4,14,253,169
00239.jpg,259,194,Carro,88,7,158,39
00239.jpg,259,194,Automovil,222,12,257,52
00239.jpg,259,194,Automovil,51,4,94,25
00240.jpg,300,225,Automovil,51,59,259,170
00240.jpg,300,225,Camioneta,17,54,93,116
00240.jpg,300,225,Camioneta,123,38,181,64
00240.jpg,300,225,Camioneta,180,29,240,56
00240.jpg,300,225,Camioneta,195,52,282,103
00240.jpg,300,225,Camioneta,249,51,299,97
00240.jpg,300,225,Automovil,61,44,121,65
00241.jpg,1024,768,Carro,40,52,996,693
00241.jpg,1024,768,Camioneta,647,33,1024,355
00241.jpg,1024,768,Camioneta,455,24,685,135
00242.jpg,280,210,Deportivo,8,39,274,165
00243.jpg,750,469,Carro,262,225,729,434
00243.jpg,750,469,Automovil,270,234,339,262
00243.jpg,750,469,Camioneta,408,214,464,260
00244.jpg,480,360,Camioneta,28,91,479,328
00245.jpg,556,283,Carro,19,55,539,242
00246.jpg,1280,1024,Deportivo,10,266,1262,998
00247.jpg,900,540,Automovil,46,118,873,516
00248.jpg,595,445,Carro,54,173,508,344
00248.jpg,595,445,Deportivo,1,191,209,284
00248.jpg,595,445,Deportivo,469,183,581,271
00249.jpg,640,480,Deportivo,6,176,634,435
00249.jpg,640,480,Automovil,222,99,626,246
00249.jpg,640,480,Automovil,1,74,356,163
00249.jpg,640,480,Automovil,1,64,121,168
00250.jpg,259,194,Carro,17,35,253,173
00250.jpg,259,194,Camioneta,50,58,67,73
00250.jpg,259,194,Camioneta,32,56,46,71
00250.jpg,259,194,Automovil,12,56,24,70
00250.jpg,259,194,Camioneta,71,54,87,72
00251.jpg,3264,2448,Automovil,589,473,3160,1899
00251.jpg,3264,2448,Camioneta,2089,455,3245,1329
00251.jpg,3264,2448,Camioneta,1,745,375,1155
00252.jpg,275,183,Automovil,36,48,252,158
00253.jpg,640,480,Camioneta,19,99,595,331
00254.jpg,300,161,Camioneta,12,13,296,146
00255.jpg,791,422,Deportivo,18,58,758,383
00256.jpg,986,603,Automovil,65,203,798,486
00257.jpg,640,480,Automovil,5,151,624,329
00258.jpg,259,194,Automovil,32,81,233,161
00258.jpg,259,194,Automovil,1,85,41,132
00259.jpg,2592,1944,Automovil,124,211,2536,1873
00259.jpg,2592,1944,Camioneta,1674,252,2592,1209
00260.jpg,720,518,Automovil,21,155,708,407
00261.jpg,400,269,Carro,36,62,379,210
00262.jpg,587,391,Deportivo,131,146,510,309
00263.jpg,1111,740,Carro,200,257,771,657
00264.jpg,500,375,Camioneta,34,60,486,295
00265.jpg,400,266,Deportivo,13,81,391,193
00265.jpg,400,266,Camioneta,125,50,161,73
00265.jpg,400,266,Automovil,92,46,133,72
00265.jpg,400,266,Camioneta,44,48,79,65
00265.jpg,400,266,Camioneta,21,49,56,74
00265.jpg,400,266,Camioneta,271,53,316,71
00265.jpg,400,266,Camioneta,221,57,253,65
00265.jpg,400,266,Camioneta,200,53,229,74
00266.jpg,800,600,Carro,14,263,775,563
00267.jpg,640,425,Automovil,20,125,624,377
00268.jpg,640,426,Camioneta,40,47,615,395
00269.jpg,640,480,Automovil,8,179,612,393
00270.jpg,375,224,Camioneta,15,61,360,188
00271.jpg,144,108,Camioneta,6,20,143,72
00272.jpg,600,331,Carro,19,21,589,323
00273.jpg,480,360,Camioneta,40,46,468,310
00274.jpg,500,334,Automovil,11,65,447,280
00275.jpg,600,375,Automovil,141,182,494,345
00276.jpg,640,480,Camioneta,50,74,532,354
00276.jpg,640,480,Camioneta,422,109,640,272
00277.jpg,1024,768,Deportivo,73,178,952,653
00278.jpg,259,194,Carro,1,51,251,124
00278.jpg,259,194,Camioneta,166,45,205,71
00279.jpg,576,352,Automovil,14,42,563,297
00280.jpg,267,189,Automovil,1,31,259,173
00280.jpg,267,189,Camioneta,147,12,253,65
00280.jpg,267,189,Automovil,90,19,134,40
00280.jpg,267,189,Automovil,56,18,95,44
00281.jpg,587,390,Deportivo,211,226,387,349
00281.jpg,587,390,Deportivo,391,223,579,326
00281.jpg,587,390,Deportivo,6,224,185,326
00282.jpg,480,360,Automovil,15,101,454,321
00283.jpg,786,492,Automovil,109,183,682,343
00284.jpg,1024,768,Camioneta,67,87,957,599
00284.jpg,1024,768,Camioneta,792,175,1004,342
00285.jpg,640,305,Carro,8,21,639,283
00285.jpg,640,305,Carro,10,19,281,177
00285.jpg,640,305,Camioneta,550,2,640,76
00286.jpg,1024,768,Camioneta,99,129,791,734
00286.jpg,1024,768,Camioneta,892,274,1022,537
00286.jpg,1024,768,Camioneta,764,342,881,508
00287.jpg,1280,960,Camioneta,62,291,1260,774
00287.jpg,1280,960,Camioneta,1,302,234,533
00287.jpg,1280,960,Camioneta,149,293,362,446
00287.jpg,1280,960,Camioneta,294,284,436,407
00288.jpg,300,156,Camioneta,55,51,258,131
00289.jpg,800,533,Automovil,167,177,766,427
00290.jpg,800,532,Automovil,34,32,649,505
00291.jpg,600,600,Camioneta,25,142,575,447
00292.jpg,960,300,Deportivo,91,50,866,264
00293.jpg,1000,441,Deportivo,27,36,955,375
00294.jpg,640,480,Camioneta,12,141,629,413
00295.jpg,640,480,Camioneta,120,106,546,440
00296.jpg,640,480,Camioneta,14,109,626,458
00297.jpg,640,480,Camioneta,39,147,637,449
00298.jpg,409,271,Carro,43,57,377,234
00299.jpg,1024,768,Camioneta,40,98,982,669
00299.jpg,1024,768,Automovil,3,127,66,174
00299.jpg,1024,768,Camioneta,69,124,147,170
00299.jpg,1024,768,Automovil,4,178,90,292
00299.jpg,1024,768,Automovil,77,179,157,238
00300.jpg,1024,768,Camioneta,37,99,990,686
00301.jpg,300,241,Camioneta,52,33,250,182
00302.jpg,300,189,Deportivo,5,26,296,180
00303.jpg,300,225,Automovil,5,47,290,194
00304.jpg,264,191,Automovil,15,30,230,150
00305.jpg,200,134,Camioneta,44,17,171,122
00306.jpg,640,480,Camioneta,8,112,581,398
00306.jpg,640,480,Automovil,425,132,593,199
00306.jpg,640,480,Automovil,381,132,490,209
00307.jpg,1280,960,Camioneta,153,56,1193,904
00307.jpg,1280,960,Automovil,4,163,197,296
00307.jpg,1280,960,Camioneta,153,150,223,214
00308.jpg,800,480,Deportivo,5,135,785,376
00309.jpg,640,480,Camioneta,47,122,600,351
00310.jpg,424,360,Camioneta,32,65,403,305
00310.jpg,424,360,Automovil,265,83,352,130
00310.jpg,424,360,Automovil,327,88,387,132
00310.jpg,424,360,Camioneta,350,86,416,138
00311.jpg,280,280,Deportivo,2,66,278,228
00312.jpg,640,480,Carro,67,98,619,435
00312.jpg,640,480,Camioneta,14,89,152,174
00313.jpg,500,334,Automovil,11,32,480,308
00314.jpg,640,480,Camioneta,33,74,617,432
00314.jpg,640,480,Camioneta,1,157,37,249
00315.jpg,2100,1386,Camioneta,532,312,1681,1310
00316.jpg,292,210,Automovil,7,23,276,162
00317.jpg,300,224,Automovil,2,53,298,200
00318.jpg,625,416,Deportivo,74,150,447,385
00319.jpg,575,431,Automovil,35,8,565,406
00320.jpg,514,300,Automovil,34,9,451,282
00320.jpg,514,300,Camioneta,405,5,448,35
00321.jpg,640,480,Camioneta,41,62,593,417
00322.jpg,1024,768,Camioneta,5,301,997,726
00322.jpg,1024,768,Camioneta,1,344,100,415
00322.jpg,1024,768,Camioneta,637,334,938,438
00322.jpg,1024,768,Camioneta,96,317,296,423
00323.jpg,800,536,Deportivo,150,259,665,431
00324.jpg,210,131,Camioneta,16,26,201,126
00325.jpg,300,200,Automovil,11,22,281,144
00326.jpg,450,261,Camioneta,28,28,434,238
00327.jpg,550,366,Deportivo,12,19,546,301
00328.jpg,300,199,Camioneta,29,45,245,167
00329.jpg,700,500,Camioneta,11,114,674,438
00329.jpg,700,500,Camioneta,65,111,252,203
00329.jpg,700,500,Camioneta,4,106,187,216
00329.jpg,700,500,Carro,587,121,697,245
00330.jpg,500,333,Camioneta,170,84,343,303
00331.jpg,640,480,Automovil,27,75,607,389
00332.jpg,660,396,Deportivo,63,250,398,394
00333.jpg,500,354,Deportivo,27,102,479,318
00334.jpg,1440,900,Automovil,200,352,1375,842
00335.jpg,259,194,Camioneta,21,30,243,179
00335.jpg,259,194,Automovil,214,47,254,94
00336.jpg,1920,1080,Deportivo,318,590,1803,973
00337.jpg,550,368,Deportivo,38,44,526,311
00338.jpg,480,360,Camioneta,12,124,456,353
00338.jpg,480,360,Carro,413,167,476,218
00338.jpg,480,360,Carro,18,166,45,193
00339.jpg,276,183,Deportivo,34,8,243,168
00340.jpg,600,406,Automovil,136,150,505,304
00341.jpg,1024,768,Automovil,58,130,981,601
00341.jpg,1024,768,Camioneta,804,151,920,232
00341.jpg,1024,768,Camioneta,756,179,863,243
00341.jpg,1024,768,Camioneta,1,170,142,342
00341.jpg,1024,768,Camioneta,108,174,203,226
00342.jpg,630,473,Camioneta,101,193,515,421
00342.jpg,630,473,Carro,9,248,113,336
00342.jpg,630,473,Camioneta,14,227,92,265
00342.jpg,630,473,Carro,444,253,539,319
00343.jpg,800,600,Camioneta,59,36,780,478
00343.jpg,800,600,Automovil,696,85,735,111
00343.jpg,800,600,Camioneta,543,81,581,115
00343.jpg,800,600,Automovil,752,84,795,123
00343.jpg,800,600,Automovil,628,83,678,115
00343.jpg,800,600,Automovil,580,88,618,114
00343.jpg,800,600,Automovil,671,86,706,107
00343.jpg,800,600,Camioneta,587,80,623,102
00343.jpg,800,600,Automovil,514,87,560,125
00343.jpg,800,600,Camioneta,731,81,755,107
00344.jpg,800,537,Camioneta,36,57,757,374
00345.jpg,259,194,Camioneta,25,10,237,186
00346.jpg,2992,2013,Automovil,94,125,2890,1901
00347.jpg,1024,768,Camioneta,97,187,930,679
00347.jpg,1024,768,Automovil,897,315,1005,424
00347.jpg,1024,768,Camioneta,1,326,52,370
00347.jpg,1024,768,Camioneta,41,327,79,367
00347.jpg,1024,768,Camioneta,92,342,128,366
00348.jpg,540,295,Deportivo,12,56,524,275
00349.jpg,1000,752,Camioneta,47,82,971,711
00350.jpg,259,194,Camioneta,12,45,247,149
00351.jpg,500,321,Automovil,27,106,471,306
00351.jpg,500,321,Carro,447,92,494,119
00351.jpg,500,321,Automovil,314,103,379,127
00351.jpg,500,321,Automovil,3,107,87,161
00352.jpg,480,360,Camioneta,102,26,434,242
00353.jpg,500,312,Automovil,7,56,499,270
00354.jpg,1024,685,Deportivo,42,192,1004,584
00355.jpg,1024,768,Camioneta,45,91,994,615
00355.jpg,1024,768,Camioneta,1,205,174,371
00356.jpg,1600,1200,Automovil,171,293,1400,1067
00357.jpg,440,317,Deportivo,30,44,418,259
00358.jpg,620,465,Automovil,51,109,574,356
00359.jpg,640,480,Camioneta,41,74,640,408
00359.jpg,640,480,Camioneta,13,150,128,196
00359.jpg,640,480,Camioneta,71,151,162,197
00360.jpg,259,194,Camioneta,16,16,242,173
00361.jpg,960,720,Camioneta,32,57,942,595
00362.jpg,640,480,Camioneta,85,111,572,361
00363.jpg,424,360,Automovil,5,53,405,299
00364.jpg,300,225,Camioneta,15,51,290,178
00365.jpg,666,500,Camioneta,4,76,636,469
00365.jpg,666,500,Camioneta,496,3,666,167
00365.jpg,666,500,Camioneta,363,88,493,184
00365.jpg,666,500,Automovil,6,91,57,160
00366.jpg,538,355,Camioneta,66,48,514,335
00367.jpg,630,420,Carro,25,106,627,328
00368.jpg,320,240,Automovil,15,74,289,185
00368.jpg,320,240,Deportivo,187,69,251,117
00368.jpg,320,240,Deportivo,25,68,77,101
00368.jpg,320,240,Deportivo,1,70,47,115
00368.jpg,320,240,Deportivo,53,71,127,102
00368.jpg,320,240,Camioneta,278,56,317,80
00369.jpg,640,426,Automovil,34,49,610,352
00370.jpg,616,386,Automovil,52,144,573,369
00371.jpg,433,280,Camioneta,4,49,431,244
00372.jpg,800,532,Deportivo,5,177,360,505
00372.jpg,800,532,Automovil,511,202,604,256
00372.jpg,800,532,Carro,707,208,756,257
00373.jpg,1024,768,Automovil,216,312,820,627
00374.jpg,750,563,Deportivo,11,169,745,492
00375.jpg,824,457,Carro,87,40,737,377
00376.jpg,1024,768,Automovil,71,179,939,720
00376.jpg,1024,768,Camioneta,824,175,974,248
00376.jpg,1024,768,Automovil,973,198,1024,255
00376.jpg,1024,768,Camioneta,299,162,415,214
00376.jpg,1024,768,Carro,313,185,532,253
00376.jpg,1024,768,Camioneta,309,167,566,222
00377.jpg,640,480,Camioneta,19,47,636,408
00378.jpg,300,242,Carro,18,23,279,214
00379.jpg,1024,682,Camioneta,99,187,981,597
00380.jpg,624,423,Carro,107,101,600,364
00381.jpg,500,373,Camioneta,59,90,464,332
00382.jpg,500,375,Camioneta,5,51,490,363
00383.jpg,640,480,Camioneta,85,28,578,417
00383.jpg,640,480,Camioneta,497,100,572,145
00383.jpg,640,480,Camioneta,567,102,607,127
00383.jpg,640,480,Camioneta,598,104,637,136
00384.jpg,569,355,Automovil,44,80,491,302
00385.jpg,677,451,Deportivo,221,193,634,362
00386.jpg,1280,1024,Deportivo,1,330,1254,799
00387.jpg,1023,680,Automovil,33,152,996,626
00388.jpg,256,192,Camioneta,20,52,245,164
00389.jpg,424,360,Camioneta,8,92,405,265
00390.jpg,800,504,Deportivo,14,14,790,504
00391.jpg,1920,1200,Camioneta,386,330,1418,986
00392.jpg,1024,768,Automovil,52,224,986,640
00392.jpg,1024,768,Camioneta,1,215,123,371
00392.jpg,1024,768,Camioneta,75,207,286,324
00393.jpg,1024,768,Camioneta,81,243,990,712
00394.jpg,720,480,Camioneta,217,112,630,340
00395.jpg,259,194,Camioneta,45,40,207,170
00395.jpg,259,194,Camioneta,206,43,259,120
00396.jpg,500,375,Automovil,18,96,441,299
00397.jpg,300,225,Automovil,25,30,287,164
00397.jpg,300,225,Automovil,1,41,41,86
00397.jpg,300,225,Camioneta,270,3,291,20
00398.jpg,434,326,Carro,34,100,408,236
00399.jpg,750,469,Automovil,118,93,680,352
00400.jpg,275,183,Carro,9,50,259,150
car01.png,799,449,Camioneta,140,147,697,401
car02.jpg,980,525,Carro,147,145,840,497
car04.jpg,1200,800,Carro,96,264,1156,739
car05.jpg,840,556,Camioneta,98,139,774,488
car06.jpg,568,375,Camioneta,35,50,527,323
car07.jpg,900,596,Camioneta,178,87,711,374
car08.jpg,866,530,Camioneta,118,87,779,515
car09.jpg,580,435,Carro,102,75,518,386
car10.jpg,840,560,Camioneta,38,43,772,490
car11.jpg,236,236,Camioneta,3,39,230,222
car12.jpg,576,768,Camioneta,5,77,572,572
car13.jpg,1024,768,Camioneta,48,20,1024,743
car14.jpg,535,349,Automovil,19,6,491,273
car15.jpg,535,349,Camioneta,66,13,468,305
car16.jpg,450,600,Camioneta,1,44,435,436
car17.jpg,1280,720,Camioneta,246,106,1166,667
car18.jpg,640,480,Camioneta,54,89,602,416
car19.jpg,1200,800,Camioneta,209,288,1061,688
car20.jpg,960,720,Camioneta,354,249,922,602
car20.jpg,960,720,Camioneta,674,169,802,258
car20.jpg,960,720,Automovil,493,176,715,251
car22.jpg,660,371,Automovil,40,10,305,110
car22.jpg,660,371,Deportivo,364,11,660,114
car22.jpg,660,371,Carro,7,147,211,234
car22.jpg,660,371,Automovil,234,129,428,238
car22.jpg,660,371,Camioneta,454,139,660,237
car22.jpg,660,371,Camioneta,16,257,323,364
car22.jpg,660,371,Deportivo,362,255,638,371
car23.jpg,297,170,Camioneta,5,5,135,71
car23.jpg,297,170,Camioneta,171,1,294,67
car23.jpg,297,170,Automovil,91,67,221,112
car23.jpg,297,170,Automovil,2,107,143,164
car23.jpg,297,170,Deportivo,164,105,293,162
car24.jpg,250,167,Automovil,2,83,64,135
car24.jpg,250,167,Automovil,92,109,162,163
car24.jpg,250,167,Camioneta,193,83,231,121
car24.jpg,250,167,Camioneta,112,83,161,120
car24.jpg,250,167,Camioneta,1,56,16,72
car24.jpg,250,167,Camioneta,115,63,147,85
car24.jpg,250,167,Camioneta,86,66,114,89
car24.jpg,250,167,Camioneta,156,62,170,81
car24.jpg,250,167,Camioneta,185,66,201,81
car24.jpg,250,167,Camioneta,208,62,226,83
car24.jpg,250,167,Camioneta,232,66,245,81
car24.jpg,250,167,Camioneta,26,56,41,70
car24.jpg,250,167,Camioneta,87,54,100,65
car25.jpg,512,376,Camioneta,346,196,391,241
car25.jpg,512,376,Camioneta,35,249,105,341
car25.jpg,512,376,Camioneta,99,226,144,281
car25.jpg,512,376,Camioneta,131,271,208,338
car25.jpg,512,376,Camioneta,326,309,396,375
car25.jpg,512,376,Camioneta,217,293,300,372
car25.jpg,512,376,Camioneta,184,171,226,207
car25.jpg,512,376,Camioneta,273,136,304,163
car25.jpg,512,376,Camioneta,258,163,288,202
car25.jpg,512,376,Camioneta,153,138,194,176
car25.jpg,512,376,Camioneta,207,115,238,148
car25.jpg,512,376,Camioneta,274,184,320,231
car25.jpg,512,376,Camioneta,355,133,386,164
car25.jpg,512,376,Camioneta,368,96,385,114
car25.jpg,512,376,Camioneta,371,114,401,148
car25.jpg,512,376,Automovil,36,193,73,245
car25.jpg,512,376,Automovil,246,229,305,290
car25.jpg,512,376,Automovil,165,245,225,298
car25.jpg,512,376,Automovil,331,262,392,318
car25.jpg,512,376,Carro,6,309,55,376
car25.jpg,512,376,Carro,158,198,225,246
car25.jpg,512,376,Carro,132,184,162,219
car25.jpg,512,376,Carro,129,160,173,188
car25.jpg,512,376,Carro,325,136,348,158
car25.jpg,512,376,Camioneta,226,155,260,212
car26.png,0,0,Automovil,170,375,263,416
car26.png,0,0,Camioneta,266,326,368,411
car26.png,0,0,Automovil,381,325,458,414
car26.png,0,0,Camioneta,504,316,624,416
car26.png,0,0,Camioneta,454,360,567,417
car26.png,0,0,Automovil,437,290,517,356
car26.png,0,0,Automovil,385,260,458,306
car26.png,0,0,Automovil,318,223,380,270
car26.png,0,0,Automovil,254,244,343,301
car26.png,0,0,Automovil,104,251,160,293
car26.png,0,0,Automovil,124,274,181,326
car26.png,0,0,Automovil,128,329,211,388
car26.png,0,0,Automovil,171,372,255,417
car26.png,0,0,Automovil,76,207,126,235
car26.png,0,0,Automovil,213,197,274,222
car26.png,0,0,Automovil,238,216,302,247
car26.png,0,0,Camioneta,265,240,335,287
car26.png,0,0,Automovil,276,199,321,216
car26.png,0,0,Camioneta,159,188,208,233
car26.png,0,0,Camioneta,178,218,244,269
car26.png,0,0,Camioneta,91,186,140,219
car26.png,0,0,Camioneta,141,172,178,208
car26.png,0,0,Camioneta,133,151,179,178
car26.png,0,0,Camioneta,160,131,191,152
car26.png,0,0,Camioneta,100,133,132,152
car26.png,0,0,Camioneta,53,156,97,178
car26.png,0,0,Camioneta,73,105,106,127
car26.png,0,0,Camioneta,135,123,157,145
car26.png,0,0,Automovil,200,252,258,304
car26.png,0,0,Automovil,181,164,224,181
car26.png,0,0,Automovil,203,155,238,170
car26.png,0,0,Automovil,227,169,260,194
car26.png,0,0,Automovil,257,178,298,205
car26.png,0,0,Automovil,282,201,338,240
car26.png,0,0,Automovil,55,147,95,163
car26.png,0,0,Automovil,41,113,71,134
car26.png,0,0,Automovil,50,132,77,152
car26.png,0,0,Automovil,117,110,141,129
